Data,Tempo,Velocidade,Direção
2021-07-22,20:00:00,1,254
2021-07-22,21:00:00,,244
2021-07-22,22:00:00,,147
2021-07-22,23:00:00,1,188
2021-07-23,00:00:00,,246
2021-07-23,01:00:00,,87
2021-07-23,02:00:00,,335
2021-07-23,03:00:00,,340
2021-07-23,04:00:00,,317
2021-07-23,05:00:00,,93
2021-07-23,06:00:00,,211
2021-07-23,07:00:00,1,243
2021-07-23,08:00:00,,313
2021-07-23,09:00:00,,345
2021-07-23,10:00:00,,221
2021-07-23,11:00:00,,265
2021-07-23,12:00:00,,345
2021-07-23,13:00:00,1,3
2021-07-23,14:00:00,1,174
2021-07-23,15:00:00,1,285
2021-07-23,16:00:00,1,147
2021-07-23,17:00:00,1,3
2021-07-23,18:00:00,1,88
2021-07-23,19:00:00,2,4
2021-07-23,20:00:00,1,105
2021-07-23,21:00:00,1,32
2021-07-23,22:00:00,2,34
2021-07-23,23:00:00,1,32
2021-07-24,00:00:00,1,58
2021-07-24,01:00:00,1,54
2021-07-24,02:00:00,1,83
2021-07-24,03:00:00,,19
2021-07-24,04:00:00,,60
2021-07-24,05:00:00,,39
2021-07-24,06:00:00,1,86
2021-07-24,07:00:00,,219
2021-07-24,08:00:00,,85
2021-07-24,09:00:00,,247
2021-07-24,10:00:00,,216
2021-07-24,11:00:00,,197
2021-07-24,12:00:00,1,46
2021-07-24,13:00:00,2,38
2021-07-24,14:00:00,3,34
2021-07-24,15:00:00,3,32
2021-07-24,16:00:00,2,45
2021-07-24,17:00:00,2,7
2021-07-24,18:00:00,2,30
2021-07-24,19:00:00,2,43
2021-07-24,20:00:00,1,32
2021-07-24,21:00:00,1,45
2021-07-24,22:00:00,1,93
2021-07-24,23:00:00,,73
2021-07-25,00:00:00,1,88
2021-07-25,01:00:00,1,66
2021-07-25,02:00:00,,99
2021-07-25,03:00:00,2,111
2021-07-25,04:00:00,1,34
2021-07-25,05:00:00,,55
2021-07-25,06:00:00,,158
2021-07-25,07:00:00,,130
2021-07-25,08:00:00,,320
2021-07-25,09:00:00,,126
2021-07-25,10:00:00,,332
2021-07-25,11:00:00,,309
2021-07-25,12:00:00,1,294
2021-07-25,13:00:00,3,22
2021-07-25,14:00:00,3,36
2021-07-25,15:00:00,3,46
2021-07-25,16:00:00,2,36
2021-07-25,17:00:00,3,326
2021-07-25,18:00:00,2,42
2021-07-25,19:00:00,1,11
2021-07-25,20:00:00,2,351
2021-07-25,21:00:00,1,63
2021-07-25,22:00:00,1,85
2021-07-25,23:00:00,1,72
2021-07-26,00:00:00,1,57
2021-07-26,01:00:00,,339
2021-07-26,02:00:00,1,90
2021-07-26,03:00:00,1,92
2021-07-26,04:00:00,1,54
2021-07-26,05:00:00,1,31
2021-07-26,06:00:00,,124
2021-07-26,07:00:00,,137
2021-07-26,08:00:00,,322
2021-07-26,09:00:00,,215
2021-07-26,10:00:00,,257
2021-07-26,11:00:00,1,304
2021-07-26,12:00:00,1,344
2021-07-26,13:00:00,1,12
2021-07-26,14:00:00,3,34
2021-07-26,15:00:00,3,22
2021-07-26,16:00:00,2,12
2021-07-26,17:00:00,2,47
2021-07-26,18:00:00,2,331
2021-07-26,19:00:00,1,295
2021-07-26,20:00:00,1,360
2021-07-26,21:00:00,1,305
2021-07-26,22:00:00,1,309
2021-07-26,23:00:00,,340
2021-07-27,00:00:00,1,50
2021-07-27,01:00:00,,76
2021-07-27,02:00:00,,128
2021-07-27,03:00:00,,158
