CR1000,CR1000,51714,CR1000.Std.32.03,CPU:Terra agua.CR1,28459,saida1min
RECORD,Tterra_Avg,Tagua_Avg,batt_volt_Min,PTemp,,
RN,,,,,,
,Avg,Avg,Min,Smp,,
116,28.55,24.06,12.58,23.41,,
117,28.4,23.99,12.58,23.38,,
118,28.22,23.95,12.58,23.35,,
119,28.11,23.79,12.58,23.32,,
120,27.88,23.85,12.58,23.29,,
121,27.79,23.7,12.58,23.29,,
122,27.67,23.59,12.58,23.29,,
123,27.53,23.52,12.58,23.29,,
124,27.42,23.47,12.58,23.27,,
125,27.25,23.52,12.58,23.27,,
126,27.16,23.39,12.58,23.24,,
127,27.05,23.4,12.58,23.21,,
128,26.9,23.39,12.59,23.18,,
129,26.86,23.11,12.59,23.15,,
130,26.61,23.23,12.59,23.12,,
131,26.68,23,12.59,23.1,,
132,26.58,22.92,12.59,23.07,,
133,26.38,22.97,12.59,23.04,,
134,26.28,22.83,12.59,23.04,,
135,26.17,22.76,12.59,23.04,,
136,26.1,22.67,12.58,23.04,,
137,25.96,22.7,12.59,23.04,,
138,25.93,22.62,12.58,23.01,,
139,25.81,22.54,12.58,22.98,,
140,25.72,22.5,12.59,22.98,,
141,25.64,22.42,12.59,22.95,,
142,25.54,22.38,12.59,22.92,,
143,25.44,22.33,12.59,22.87,,
144,25.34,22.3,12.58,22.84,,
145,25.19,22.3,12.59,22.81,,
146,25.19,22.05,12.59,22.78,,
